Income_log,Customer Lifetime Value_log,Monthly Premium Auto_log,Total Claim Amount
4.7503077862431375,3.441462498675026,1.8388490907372552,384.811147
4.644444503074209,3.843826545622143,1.9731278535996986,1131.464935
4.688126039915543,4.110166374966137,2.03342375548695,566.472247
4.644444503074209,3.8834264453553002,2.0253058652647704,529.881344
4.641830918259542,3.4492766445291925,1.863322860120456,138.130879
4.798664454271264,3.9167853493224047,1.8388490907372552,159.383042
4.743117625214742,3.7308548109945523,1.8260748027008264,321.6
4.644444503074209,3.8583025617028124,2.0043213737826426,363.02968
4.1483558264494045,4.382512396653578,1.8512583487190752,511.2
4.459573406104652,3.8685373551494546,1.968482948553935,425.527834
4.644444503074209,3.6756859775737856,1.8260748027008264,482.4
4.644444503074209,3.913665376572409,2.041392685158225,528.0
4.886637345309819,3.9444232982100553,2.041392685158225,472.029737
4.99932632131709,3.9454202750129617,2.041392685158225,528.0
4.922668378504072,3.7311398696060936,1.845098040014257,307.139132
4.390917452497312,3.8729215523127154,1.806179973983887,42.920271
4.398790392752139,3.409403505905698,1.8260748027008264,454.245098
4.460221078644682,3.5960736042681516,2.0043213737826426,647.442031
4.708828656504768,3.756661443760132,1.8573324964312685,308.981664
4.820464190577684,3.9118294221676626,2.0043213737826426,484.8
4.761544468248302,3.4581921888370473,1.8692317197309762,355.2
4.139532771597939,3.483129450673909,1.8976270912904414,379.2
4.1483558264494045,4.382512396653578,1.8512583487190752,511.2
4.644444503074209,3.3891999395791457,1.863322860120456,554.376763
4.252124552505644,3.378780763516614,1.7853298350107671,439.2
4.989187203708446,3.7635826630599594,1.8573324964312685,389.185006
4.644444503074209,3.5961980304458394,2.0453229787866576,799.2
4.0216440360874435,3.728103408176365,2.143014800254095,516.237951
4.937437645438791,4.1106758920325746,2.0453229787866576,532.8
4.879038505237237,3.5099226746622163,1.9030899869919435,384.0
4.364701049594699,3.3899778175903443,1.7993405494535817,322.294043
4.819537355272595,4.278192223759899,2.374748346010104,615.927769
4.644444503074209,3.673511294776534,1.8129133566428555,308.15089
4.7363965022766426,3.700607264770585,1.7993405494535817,302.4
4.571242850560224,3.693103750529455,1.792391689498254,15.437681
4.838767259430227,3.7592318015320134,1.8512583487190752,204.475147
4.626391699386438,4.14275651102279,2.0681858617461617,561.6
4.81760502934538,3.8681138353645603,1.9590413923210936,436.8
4.644444503074209,3.4899632726601992,1.954242509439325,648.0
4.7262625180036,3.401681895714902,1.8195439355418688,157.397849
4.644444503074209,3.4235836375954802,1.845098040014257,484.318536
4.699586265058687,3.442643583362856,1.8512583487190752,18.918935
4.778303226857978,3.5953866831329835,1.99563519459755,882.871945
4.635925858675862,4.087493200447996,2.012837224705172,494.4
4.967707063590247,3.3880416980841517,1.7853298350107671,292.8
4.004536317851323,4.107857633329816,2.2355284469075487,0.517753
4.644444503074209,3.650162786848777,1.863322860120456,579.165954
4.365824806859364,3.7414938565210396,1.8512583487190752,447.79344
4.644444503074209,3.52425007670968,1.9637878273455553,529.624084
4.644444503074209,3.360684073392786,1.792391689498254,313.023175
4.394521722674913,4.564753936566024,2.0170333392987803,593.830288
4.521007252408604,4.524699171551507,2.0253058652647704,508.8
4.556471360234148,3.9021896146483668,1.8388490907372552,173.956072
4.47471148539244,3.6861664827000418,1.806179973983887,307.2
4.222742476026601,3.6328617689442284,2.0530784434834195,831.625979
4.668600215163262,3.8551795550385464,1.9590413923210936,436.8
4.81123306545081,3.881927373955147,1.806179973983887,302.56519
4.644444503074209,3.597476099626033,2.0043213737826426,484.8
4.2296562496672125,3.6531636048303207,2.093421685162235,704.768111
4.065243501186464,3.6084797577835843,2.03342375548695,518.4
4.246055196906444,3.6491511083131485,1.8129133566428555,312.0
4.060282229438346,3.9090386936017762,2.0211892990699383,504.0
4.644444503074209,3.5237158925741086,1.9731278535996986,863.327324
4.822984883223427,4.384909015929702,2.0,104.331355
4.644444503074209,3.8204624605535678,1.7993405494535817,676.391482
4.527152817088064,3.46697040747207,1.863322860120456,350.4
4.353088764833948,3.9381289982432683,2.0492180226701815,537.6
4.788776240736422,4.065903326870795,1.9867717342662448,465.258644
4.644444503074209,3.8354464308422704,1.9777236052888478,456.0
4.475366058278924,4.069215680145991,2.0086001717619175,500.254235
4.968534313680799,4.354949977408631,2.0530784434834195,281.451042
4.814154332302257,3.4173843779493622,1.8129133566428555,5.434505
4.428782511496954,3.389476661354749,1.806179973983887,307.2
4.644444503074209,3.83131104939603,2.0170333392987803,982.399613
4.878774485958254,3.696775760009109,1.8129133566428555,467.803638
4.590886398373238,3.9340742986903514,1.863322860120456,350.4
4.856190974512409,3.747579696829824,1.8512583487190752,29.03416
4.321411997974006,3.903603932656854,1.8260748027008264,321.6
4.590206306242624,4.053773136160149,1.99563519459755,115.728852
4.7876092285525385,4.764673331703953,2.2695129442179165,427.63121
4.644444503074209,3.904457453225243,1.8864907251724818,25.807685
4.708131840899158,3.761941528023405,1.8692317197309762,787.993313
4.536280607248382,3.614743194753213,2.0086001717619175,489.6
4.634195038207864,3.4019293255609258,1.7993405494535817,302.4
4.401779521353841,3.816520776081642,1.954242509439325,475.623251
4.565434570307759,3.8866822966853585,1.8195439355418688,320.849072
4.363442741279142,3.772815097326718,1.9822712330395684,460.8
4.683668301532996,3.428696853997315,1.8388490907372552,282.151207
4.514813294999286,3.4305881650270154,1.8260748027008264,321.6
4.309545003295436,3.78154177558898,1.8808135922807914,364.8
4.33270097722138,4.119619172473139,2.0755469613925306,679.827592
4.860577551244416,4.02763015497267,1.9444826721501687,631.743039
4.907110260245185,3.402717589870193,1.7993405494535817,11.879037
4.722814840879233,3.4268520172605688,1.8260748027008264,350.529033
4.644444503074209,3.7253638502113664,1.8864907251724818,863.3947
4.843469488187381,4.321105090682904,1.8692317197309762,492.127532
